Sample,UNMAPPED_READS,ESTIMATED_LIBRARY_SIZE,READ_PAIR_OPTICAL_DUPLICATES,READ_PAIRS_EXAMINED,UNPAIRED_READS_EXAMINED,PERCENT_DUPLICATION,LIBRARY,READ_PAIR_DUPLICATES,UNPAIRED_READ_DUPLICATES
R146fs_3,0,32210046,0,34250275,0,0.384299,Unknown Library,13162361,0
M143Vhom_3,0,45569511,0,34213136,0,0.296732,Unknown Library,10152138,0
hetdel_6,0,36802630,0,26561587,0,0.287699,Unknown Library,7641744,0
S21wt_3,0,46189961,0,38921660,0,0.324235,Unknown Library,12619752,0
delwt_3,0,43503604,0,38470018,0,0.3362,Unknown Library,12933631,0
C54wt_2,0,43494092,0,28670570,0,0.26769,Unknown Library,7674829,0
C54wt_6,0,37635453,0,26929176,0,0.285749,Unknown Library,7694993,0
NA_2,0,46451934,0,36658941,0,0.308418,Unknown Library,11306268,0
N12K_3,0,29661363,0,25218510,0,0.326433,Unknown Library,8232142,0
C54Y_5,0,58764477,0,45520689,0,0.304021,Unknown Library,13839265,0
S21Thom_2,0,49571874,0,45542305,0,0.345859,Unknown Library,15751216,0
NA_1,0,38490801,0,26759189,0,0.279311,Unknown Library,7474130,0
M143wt_1,0,45595764,0,32071342,0,0.281911,Unknown Library,9041267,0
M143wt_5,0,35094180,0,24814155,0,0.28308,Unknown Library,7024397,0
C54wt_1,0,48086847,0,32733269,0,0.274666,Unknown Library,8990709,0
C54Y_6,0,54519336,0,41798128,0,0.301599,Unknown Library,12606255,0
S21Thom_3,0,34262908,0,28135203,0,0.317941,Unknown Library,8945325,0
C54wt_5,0,40879945,0,30970931,0,0.298828,Unknown Library,9254969,0
N12wt_2,0,30798460,0,26117702,0,0.325797,Unknown Library,8509057,0
R146wt_4,0,32342138,0,29704376,0,0.345784,Unknown Library,10271293,0
S21Thet_5,0,50161617,0,42321008,0,0.32454,Unknown Library,13734862,0
P26wt_3,0,30394899,0,30606514,0,0.369715,Unknown Library,11315695,0
P26R_4,0,40862935,0,37506128,0,0.34562,Unknown Library,12962867,0
hetdel_4,0,43604438,0,29483122,0,0.273195,Unknown Library,8054656,0
M143wt_6,0,54865564,0,41037535,0,0.295861,Unknown Library,12141416,0
hetdel_2,0,49652444,0,35929358,0,0.28829,Unknown Library,10358091,0
M143Vhet_1,0,48624198,0,38490076,0,0.30914,Unknown Library,11898817,0
R146wt_1,0,36746150,0,31916329,0,0.331717,Unknown Library,10587181,0
M143Vhet_4,0,42961195,0,30397769,0,0.283235,Unknown Library,8609724,0
NA_6,0,43177913,0,34803621,0,0.313466,Unknown Library,10909744,0
S21wt_5,0,38605543,0,35388054,0,0.345288,Unknown Library,12219068,0
C54Y_4,0,44649643,0,30743603,0,0.277183,Unknown Library,8521603,0
NA_5,0,35717551,0,22524952,0,0.258295,Unknown Library,5818086,0
R146wt_2,0,45078076,0,43663745,0,0.359509,Unknown Library,15697518,0
C54wt_3,0,30752950,0,23935452,0,0.305138,Unknown Library,7303627,0
N12wt_1,0,38967570,0,29049585,0,0.295094,Unknown Library,8572360,0
delwt_4,0,48195134,0,37731855,0,0.306524,Unknown Library,11565736,0
M143Vhom_1,0,40593710,0,28549110,0,0.281881,Unknown Library,8047448,0
M143Vhet_3,0,46354671,0,32981315,0,0.284479,Unknown Library,9382506,0
S21Thet_6,0,39239142,0,36224468,0,0.347096,Unknown Library,12573351,0
S21Thet_4,0,47842785,0,38041664,0,0.310207,Unknown Library,11800780,0
M143Vhom_5,0,44387350,0,29987868,0,0.273016,Unknown Library,8187181,0
P26wt_1,0,41015992,0,36743619,0,0.339462,Unknown Library,12473061,0
delwt_6,0,40276457,0,29884647,0,0.294013,Unknown Library,8786484,0
hetdel_5,0,42503845,0,32774647,0,0.302949,Unknown Library,9929033,0
S21wt_1,0,41641992,0,33496793,0,0.312974,Unknown Library,10483618,0
N12wt_4,0,35676116,0,35180513,0,0.364193,Unknown Library,12812501,0
S21wt_4,0,37056409,0,34528979,0,0.349477,Unknown Library,12067092,0
R146fs_4,0,33001963,0,40154553,0,0.421563,Unknown Library,16927655,0
P26wt_4,0,33990510,0,30994867,0,0.343954,Unknown Library,10660823,0
N12K_1,0,44004507,0,34943917,0,0.309895,Unknown Library,10828940,0
P26R_6,0,41537712,0,42253296,0,0.372408,Unknown Library,15735460,0
R146wt_3,0,51545693,0,56312700,0,0.391645,Unknown Library,22054572,0
N12wt_5,0,33211406,0,34462547,0,0.377721,Unknown Library,13017227,0
R146fs_2,0,36604701,0,36984170,0,0.37061,Unknown Library,13706708,0
NA_3,0,36450433,0,27132556,0,0.29475,Unknown Library,7997324,0
S21Thet_1,0,32641761,0,29285984,0,0.339844,Unknown Library,9952667,0
R146wt_6,0,36010412,0,36407371,0,0.370783,Unknown Library,13499218,0
M143Vhet_6,0,39202338,0,26724517,0,0.274986,Unknown Library,7348872,0
M143wt_4,0,37412400,0,30708612,0,0.31784,Unknown Library,9760414,0
R146fs_1,0,41301994,0,43449696,0,0.381405,Unknown Library,16571952,0
S21wt_2,0,38956407,0,40298105,0,0.376886,Unknown Library,15187779,0
P26R_5,0,38986199,0,39640463,0,0.372291,Unknown Library,14757803,0
P26wt_2,0,34285159,0,33504149,0,0.361818,Unknown Library,12122410,0
S21Thet_2,0,31586579,0,30663390,0,0.360087,Unknown Library,11041498,0
R146fs_6,0,39636950,0,38858213,0,0.362657,Unknown Library,14092196,0
M143Vhom_4,0,36077309,0,23908670,0,0.268838,Unknown Library,6427566,0
M143Vhom_2,0,46780705,0,34888486,0,0.295189,Unknown Library,10298694,0
R146fs_5,0,46977727,0,50197332,0,0.385618,Unknown Library,19356994,0
N12K_4,0,37785282,0,25687279,0,0.27438,Unknown Library,7048064,0
delwt_1,0,47542402,0,33505206,0,0.282342,Unknown Library,9459935,0
P26wt_5,0,36022230,0,38014680,0,0.382253,Unknown Library,14531209,0
S21Thet_3,0,35802886,0,31255864,0,0.332985,Unknown Library,10407744,0
delwt_2,0,49802997,0,35682291,0,0.286046,Unknown Library,10206770,0
hetdel_1,0,55008098,0,44734860,0,0.315601,Unknown Library,14118368,0
C54wt_4,0,37883450,0,29898461,0,0.30843,Unknown Library,9221595,0
N12K_2,0,40902668,0,31153834,0,0.300069,Unknown Library,9348286,0
S21wt_6,0,40412892,0,34649569,0,0.328506,Unknown Library,11382590,0
M143Vhet_5,0,47325676,0,34205244,0,0.288023,Unknown Library,9851889,0
P26R_2,0,37758173,0,30587588,0,0.314667,Unknown Library,9624900,0
S21Thom_4,0,36688115,0,28922438,0,0.308163,Unknown Library,8912819,0
delwt_5,0,42693696,0,29776567,0,0.280024,Unknown Library,8338140,0
S21Thom_1,0,55644738,0,52700695,0,0.353671,Unknown Library,18638728,0
M143Vhet_2,0,38708397,0,27281940,0,0.282362,Unknown Library,7703390,0
M143Vhom_6,0,51208192,0,37868238,0,0.293241,Unknown Library,11104511,0
C54Y_3,0,34308987,0,28437097,0,0.320205,Unknown Library,9105693,0
N12wt_3,0,50370547,0,43879273,0,0.332451,Unknown Library,14587721,0
C54Y_2,0,26479834,0,27433212,0,0.37729,Unknown Library,10350275,0
C54Y_1,0,41904721,0,32942145,0,0.307497,Unknown Library,10129595,0
M143wt_3,0,49105753,0,39175543,0,0.310997,Unknown Library,12183485,0
hetdel_3,0,44877992,0,32648015,0,0.2895,Unknown Library,9451616,0
N12K_5,0,43291412,0,32954905,0,0.299939,Unknown Library,9884460,0
NA_4,0,33148682,0,23116812,0,0.279998,Unknown Library,6472670,0
R146wt_5,0,32134150,0,28573500,0,0.337588,Unknown Library,9646061,0
NA_7,0,58290809,0,43719255,0,0.296495,Unknown Library,12962532,0
M143wt_2,0,48693902,0,36161029,0,0.294209,Unknown Library,10638893,0
P26R_1,0,41679245,0,35209240,0,0.324852,Unknown Library,11437798,0
P26R_3,0,34646065,0,34539525,0,0.367066,Unknown Library,12678289,0
S21Thom_6,0,35517398,0,32321950,0,0.343442,Unknown Library,11100715,0
S21Thom_5,0,33737639,0,29941356,0,0.337102,Unknown Library,10093281,0