Sample,0,255
R146fs_3,9350902,68500550
M143Vhom_3,7076796,68426272
hetdel_6,5932134,53123174
S21wt_3,8047886,77843320
delwt_3,7300190,76940036
C54wt_2,5236386,57341140
C54wt_6,6502790,53858352
NA_2,8674140,73317882
N12K_3,6524772,50437020
C54Y_5,8961894,91041378
S21Thom_2,10975174,91084610
NA_1,6769080,53518378
M143wt_1,7314146,64142684
M143wt_5,5329390,49628310
C54wt_1,5921248,65466538
C54Y_6,7775332,83596256
S21Thom_3,7354228,56270406
C54wt_5,7044140,61941862
N12wt_2,6898174,52235404
R146wt_4,7390176,59408752
S21Thet_5,9406934,84642016
P26wt_3,8292018,61213028
P26R_4,9559292,75012256
hetdel_4,6432412,58966244
M143wt_6,8199086,82075070
hetdel_2,7405274,71858716
M143Vhet_1,8444894,76980152
R146wt_1,8139202,63832658
M143Vhet_4,6242494,60795538
NA_6,6396986,69607242
S21wt_5,6961576,70776108
C54Y_4,6614192,61487206
NA_5,4722362,45049904
R146wt_2,9283844,87327490
C54wt_3,21754718,47870904
N12wt_1,7271512,58099170
delwt_4,6374220,75463710
M143Vhom_1,6609376,57098220
M143Vhet_3,7326204,65962630
S21Thet_6,9568554,72448936
S21Thet_4,8205900,76083328
M143Vhom_5,6733528,59975736
P26wt_1,9071090,73487238
delwt_6,6657124,59769294
hetdel_5,6625918,65549294
S21wt_1,7168556,66993586
N12wt_4,10428942,70361026
S21wt_4,8068038,69057958
R146fs_4,11715170,80309106
P26wt_4,8404312,61989734
N12K_1,7698096,69887834
P26R_6,10961222,84506592
R146wt_3,12316952,112625400
N12wt_5,9699534,68925094
R146fs_2,9478874,73968340
NA_3,13637726,54265112
S21Thet_1,9331334,58571968
R146wt_6,9124932,72814742
M143Vhet_6,5510124,53449034
M143wt_4,17865838,61417224
R146fs_1,9415046,86899392
S21wt_2,10072122,80596210
P26R_5,10249820,79280926
P26wt_2,8502686,67008298
S21Thet_2,7562134,61326780
R146fs_6,10655396,77716426
M143Vhom_4,4744406,47817340
M143Vhom_2,7240782,69776972
R146fs_5,13466478,100394664
N12K_4,6285642,51374558
delwt_1,6435110,67010412
P26wt_5,9399262,76029360
S21Thet_3,6454190,62511728
delwt_2,6594720,71364582
hetdel_1,10635516,89469720
C54wt_4,13129692,59796922
N12K_2,6984774,62307668
S21wt_6,8609472,69299138
M143Vhet_5,6831050,68410488
P26R_2,7085668,61175176
S21Thom_4,7297786,57844876
delwt_5,6349028,59553134
S21Thom_1,8907284,105401390
M143Vhet_2,6301338,54563880
M143Vhom_6,8777682,75736476
C54Y_3,6634918,56874194
N12wt_3,6543372,87758546
C54Y_2,35154846,54866424
C54Y_1,7017732,65884290
M143wt_3,9341648,78351086
hetdel_3,7377326,65296030
N12K_5,6882150,65909810
NA_4,7991178,46233624
R146wt_5,7187594,57147000
NA_7,10055742,87438510
M143wt_2,8144490,72322058
P26R_1,8415440,70418480
P26R_3,8700002,69079050
S21Thom_6,7774616,64643900
S21Thom_5,7865606,59882712