Sample,numMultipleAlignPEProper,FR,numMultipleAlignPELongDiscFR,numMultipleAlignPEProperRR,numUniqAlignPEProperFF,numUniqAlignPEProper,numUniqAlignPELongConcFR,numUniqAlignPELong,FF,numMultipleAlignPELongDiscFF,numERCCUniqAlignDisc,numUniqAlign,numERCCUniqAlignPEDisc,numMultipleAlignSE,numUniqAlignSE,numUniqAlignPELongConcFF,RR,numMultipleAlignPELongConcRR,numUniqAlignPELongDiscRR,numAlignments,RF,numUniqAlignPELongDisc,numMultipleAlignPELong,numUniqAlignPEProperFR,numMultipleAlignPELongDiscRR,numERCCUniqAlignPE,numUniqAlignPELongDiscFF,numUnmapped,numUniqAlignPELongConc,numERCCMultipleAlignDisc,numERCCMultipleAlignPEDisc,numUniqAlignPEProperRR,numUniqAlignPELongDiscFR,numUniqAlignPE,numUniqAlignPELongConcRR,numMultipleAlignPELongConc,numMultipleAlignPEProperFR,numMultipleAlignPE,numMultipleAlignPELongConcFR,numERCCMultipleAlignPE,numMultipleAlignPEProperFF,numMultipleAlignPELongDisc,numMultipleAlign,numMultipleAlignPELongConcFF
R146fs_3,0,32482282,0,0,0,68500550,0,0,0,0,0,68500550,0,0,0,0,0,0,0,77851452,36018268,0,0,68500550,0,0,0,9350902,0,0,0,0,0,68500550,0,0,0,0,0,0,0,0,0,0
M143Vhom_3,0,32785458,0,0,0,68426272,0,0,0,0,0,68426272,0,0,0,0,0,0,0,75503068,35640814,0,0,68426272,0,0,0,7076796,0,0,0,0,0,68426272,0,0,0,0,0,0,0,0,0,0
hetdel_6,0,25121586,0,0,0,53123174,0,0,0,0,0,53123174,0,0,0,0,0,0,0,59055308,28001588,0,0,53123174,0,0,0,5932134,0,0,0,0,0,53123174,0,0,0,0,0,0,0,0,0,0
S21wt_3,0,36816328,0,0,0,77843320,0,0,0,0,0,77843320,0,0,0,0,0,0,0,85891206,41026992,0,0,77843320,0,0,0,8047886,0,0,0,0,0,77843320,0,0,0,0,0,0,0,0,0,0
delwt_3,0,36647908,0,0,0,76940036,0,0,0,0,0,76940036,0,0,0,0,0,0,0,84240226,40292128,0,0,76940036,0,0,0,7300190,0,0,0,0,0,76940036,0,0,0,0,0,0,0,0,0,0
R146wt_5,0,27352310,0,0,0,57147000,0,0,0,0,0,57147000,0,0,0,0,0,0,0,64334594,29794690,0,0,57147000,0,0,0,7187594,0,0,0,0,0,57147000,0,0,0,0,0,0,0,0,0,0
C54wt_2,0,27147010,0,0,0,57341140,0,0,0,0,0,57341140,0,0,0,0,0,0,0,62577526,30194130,0,0,57341140,0,0,0,5236386,0,0,0,0,0,57341140,0,0,0,0,0,0,0,0,0,0
C54wt_6,0,25298290,0,0,0,53858352,0,0,0,0,0,53858352,0,0,0,0,0,0,0,60361142,28560062,0,0,53858352,0,0,0,6502790,0,0,0,0,0,53858352,0,0,0,0,0,0,0,0,0,0
NA_2,0,34707484,0,0,0,73317882,0,0,0,0,0,73317882,0,0,0,0,0,0,0,81992022,38610398,0,0,73317882,0,0,0,8674140,0,0,0,0,0,73317882,0,0,0,0,0,0,0,0,0,0
N12K_3,0,23916826,0,0,0,50437020,0,0,0,0,0,50437020,0,0,0,0,0,0,0,56961792,26520194,0,0,50437020,0,0,0,6524772,0,0,0,0,0,50437020,0,0,0,0,0,0,0,0,0,0
C54Y_5,0,42880120,0,0,0,91041378,0,0,0,0,0,91041378,0,0,0,0,0,0,0,100003272,48161258,0,0,91041378,0,0,0,8961894,0,0,0,0,0,91041378,0,0,0,0,0,0,0,0,0,0
S21Thom_2,0,43300586,0,0,0,91084610,0,0,0,0,0,91084610,0,0,0,0,0,0,0,102059784,47784024,0,0,91084610,0,0,0,10975174,0,0,0,0,0,91084610,0,0,0,0,0,0,0,0,0,0
NA_1,0,25270002,0,0,0,53518378,0,0,0,0,0,53518378,0,0,0,0,0,0,0,60287458,28248376,0,0,53518378,0,0,0,6769080,0,0,0,0,0,53518378,0,0,0,0,0,0,0,0,0,0
M143wt_1,0,30610524,0,0,0,64142684,0,0,0,0,0,64142684,0,0,0,0,0,0,0,71456830,33532160,0,0,64142684,0,0,0,7314146,0,0,0,0,0,64142684,0,0,0,0,0,0,0,0,0,0
M143wt_5,0,23261536,0,0,0,49628310,0,0,0,0,0,49628310,0,0,0,0,0,0,0,54957700,26366774,0,0,49628310,0,0,0,5329390,0,0,0,0,0,49628310,0,0,0,0,0,0,0,0,0,0
C54wt_1,0,31037518,0,0,0,65466538,0,0,0,0,0,65466538,0,0,0,0,0,0,0,71387786,34429020,0,0,65466538,0,0,0,5921248,0,0,0,0,0,65466538,0,0,0,0,0,0,0,0,0,0
C54Y_6,0,39482504,0,0,0,83596256,0,0,0,0,0,83596256,0,0,0,0,0,0,0,91371588,44113752,0,0,83596256,0,0,0,7775332,0,0,0,0,0,83596256,0,0,0,0,0,0,0,0,0,0
S21Thom_3,0,26684914,0,0,0,56270406,0,0,0,0,0,56270406,0,0,0,0,0,0,0,63624634,29585492,0,0,56270406,0,0,0,7354228,0,0,0,0,0,56270406,0,0,0,0,0,0,0,0,0,0
C54wt_5,0,29141658,0,0,0,61941862,0,0,0,0,0,61941862,0,0,0,0,0,0,0,68986002,32800204,0,0,61941862,0,0,0,7044140,0,0,0,0,0,61941862,0,0,0,0,0,0,0,0,0,0
N12wt_2,0,24667596,0,0,0,52235404,0,0,0,0,0,52235404,0,0,0,0,0,0,0,59133578,27567808,0,0,52235404,0,0,0,6898174,0,0,0,0,0,52235404,0,0,0,0,0,0,0,0,0,0
R146wt_4,0,28303656,0,0,0,59408752,0,0,0,0,0,59408752,0,0,0,0,0,0,0,66798928,31105096,0,0,59408752,0,0,0,7390176,0,0,0,0,0,59408752,0,0,0,0,0,0,0,0,0,0
N12wt_3,0,41279432,0,0,0,87758546,0,0,0,0,0,87758546,0,0,0,0,0,0,0,94301918,46479114,0,0,87758546,0,0,0,6543372,0,0,0,0,0,87758546,0,0,0,0,0,0,0,0,0,0
S21Thet_5,0,39993256,0,0,0,84642016,0,0,0,0,0,84642016,0,0,0,0,0,0,0,94048950,44648760,0,0,84642016,0,0,0,9406934,0,0,0,0,0,84642016,0,0,0,0,0,0,0,0,0,0
P26wt_3,0,29148602,0,0,0,61213028,0,0,0,0,0,61213028,0,0,0,0,0,0,0,69505046,32064426,0,0,61213028,0,0,0,8292018,0,0,0,0,0,61213028,0,0,0,0,0,0,0,0,0,0
P26R_4,0,35469056,0,0,0,75012256,0,0,0,0,0,75012256,0,0,0,0,0,0,0,84571548,39543200,0,0,75012256,0,0,0,9559292,0,0,0,0,0,75012256,0,0,0,0,0,0,0,0,0,0
hetdel_4,0,28029310,0,0,0,58966244,0,0,0,0,0,58966244,0,0,0,0,0,0,0,65398656,30936934,0,0,58966244,0,0,0,6432412,0,0,0,0,0,58966244,0,0,0,0,0,0,0,0,0,0
M143wt_3,0,37134536,0,0,0,78351086,0,0,0,0,0,78351086,0,0,0,0,0,0,0,87692734,41216550,0,0,78351086,0,0,0,9341648,0,0,0,0,0,78351086,0,0,0,0,0,0,0,0,0,0
M143wt_2,0,34182622,0,0,0,72322058,0,0,0,0,0,72322058,0,0,0,0,0,0,0,80466548,38139436,0,0,72322058,0,0,0,8144490,0,0,0,0,0,72322058,0,0,0,0,0,0,0,0,0,0
M143wt_6,0,38831412,0,0,0,82075070,0,0,0,0,0,82075070,0,0,0,0,0,0,0,90274156,43243658,0,0,82075070,0,0,0,8199086,0,0,0,0,0,82075070,0,0,0,0,0,0,0,0,0,0
hetdel_2,0,33965474,0,0,0,71858716,0,0,0,0,0,71858716,0,0,0,0,0,0,0,79263990,37893242,0,0,71858716,0,0,0,7405274,0,0,0,0,0,71858716,0,0,0,0,0,0,0,0,0,0
M143Vhet_1,0,36291150,0,0,0,76980152,0,0,0,0,0,76980152,0,0,0,0,0,0,0,85425046,40689002,0,0,76980152,0,0,0,8444894,0,0,0,0,0,76980152,0,0,0,0,0,0,0,0,0,0
R146wt_1,0,30217406,0,0,0,63832658,0,0,0,0,0,63832658,0,0,0,0,0,0,0,71971860,33615252,0,0,63832658,0,0,0,8139202,0,0,0,0,0,63832658,0,0,0,0,0,0,0,0,0,0
M143Vhet_4,0,28560508,0,0,0,60795538,0,0,0,0,0,60795538,0,0,0,0,0,0,0,67038032,32235030,0,0,60795538,0,0,0,6242494,0,0,0,0,0,60795538,0,0,0,0,0,0,0,0,0,0
NA_6,0,32816058,0,0,0,69607242,0,0,0,0,0,69607242,0,0,0,0,0,0,0,76004228,36791184,0,0,69607242,0,0,0,6396986,0,0,0,0,0,69607242,0,0,0,0,0,0,0,0,0,0
S21wt_5,0,33527634,0,0,0,70776108,0,0,0,0,0,70776108,0,0,0,0,0,0,0,77737684,37248474,0,0,70776108,0,0,0,6961576,0,0,0,0,0,70776108,0,0,0,0,0,0,0,0,0,0
C54Y_4,0,29039398,0,0,0,61487206,0,0,0,0,0,61487206,0,0,0,0,0,0,0,68101398,32447808,0,0,61487206,0,0,0,6614192,0,0,0,0,0,61487206,0,0,0,0,0,0,0,0,0,0
NA_5,0,21378844,0,0,0,45049904,0,0,0,0,0,45049904,0,0,0,0,0,0,0,49772266,23671060,0,0,45049904,0,0,0,4722362,0,0,0,0,0,45049904,0,0,0,0,0,0,0,0,0,0
R146wt_2,0,41286484,0,0,0,87327490,0,0,0,0,0,87327490,0,0,0,0,0,0,0,96611334,46041006,0,0,87327490,0,0,0,9283844,0,0,0,0,0,87327490,0,0,0,0,0,0,0,0,0,0
C54wt_3,0,20552484,0,0,0,47870904,0,0,0,0,0,47870904,0,0,0,0,0,0,0,69625622,27318420,0,0,47870904,0,0,0,21754718,0,0,0,0,0,47870904,0,0,0,0,0,0,0,0,0,0
N12wt_1,0,27354542,0,0,0,58099170,0,0,0,0,0,58099170,0,0,0,0,0,0,0,65370682,30744628,0,0,58099170,0,0,0,7271512,0,0,0,0,0,58099170,0,0,0,0,0,0,0,0,0,0
delwt_4,0,35744290,0,0,0,75463710,0,0,0,0,0,75463710,0,0,0,0,0,0,0,81837930,39719420,0,0,75463710,0,0,0,6374220,0,0,0,0,0,75463710,0,0,0,0,0,0,0,0,0,0
M143Vhom_1,0,27273364,0,0,0,57098220,0,0,0,0,0,57098220,0,0,0,0,0,0,0,63707596,29824856,0,0,57098220,0,0,0,6609376,0,0,0,0,0,57098220,0,0,0,0,0,0,0,0,0,0
M143Vhet_3,0,31554218,0,0,0,65962630,0,0,0,0,0,65962630,0,0,0,0,0,0,0,73288834,34408412,0,0,65962630,0,0,0,7326204,0,0,0,0,0,65962630,0,0,0,0,0,0,0,0,0,0
S21Thet_6,0,34266332,0,0,0,72448936,0,0,0,0,0,72448936,0,0,0,0,0,0,0,82017490,38182604,0,0,72448936,0,0,0,9568554,0,0,0,0,0,72448936,0,0,0,0,0,0,0,0,0,0
S21Thet_4,0,35905744,0,0,0,76083328,0,0,0,0,0,76083328,0,0,0,0,0,0,0,84289228,40177584,0,0,76083328,0,0,0,8205900,0,0,0,0,0,76083328,0,0,0,0,0,0,0,0,0,0
M143Vhom_5,0,28234878,0,0,0,59975736,0,0,0,0,0,59975736,0,0,0,0,0,0,0,66709264,31740858,0,0,59975736,0,0,0,6733528,0,0,0,0,0,59975736,0,0,0,0,0,0,0,0,0,0
S21Thom_5,0,28385558,0,0,0,59882712,0,0,0,0,0,59882712,0,0,0,0,0,0,0,67748318,31497154,0,0,59882712,0,0,0,7865606,0,0,0,0,0,59882712,0,0,0,0,0,0,0,0,0,0
S21Thom_6,0,30787938,0,0,0,64643900,0,0,0,0,0,64643900,0,0,0,0,0,0,0,72418516,33855962,0,0,64643900,0,0,0,7774616,0,0,0,0,0,64643900,0,0,0,0,0,0,0,0,0,0
P26wt_1,0,34797610,0,0,0,73487238,0,0,0,0,0,73487238,0,0,0,0,0,0,0,82558328,38689628,0,0,73487238,0,0,0,9071090,0,0,0,0,0,73487238,0,0,0,0,0,0,0,0,0,0
delwt_6,0,28152362,0,0,0,59769294,0,0,0,0,0,59769294,0,0,0,0,0,0,0,66426418,31616932,0,0,59769294,0,0,0,6657124,0,0,0,0,0,59769294,0,0,0,0,0,0,0,0,0,0
hetdel_5,0,30749638,0,0,0,65549294,0,0,0,0,0,65549294,0,0,0,0,0,0,0,72175212,34799656,0,0,65549294,0,0,0,6625918,0,0,0,0,0,65549294,0,0,0,0,0,0,0,0,0,0
S21wt_1,0,32029090,0,0,0,66993586,0,0,0,0,0,66993586,0,0,0,0,0,0,0,74162142,34964496,0,0,66993586,0,0,0,7168556,0,0,0,0,0,66993586,0,0,0,0,0,0,0,0,0,0
N12wt_4,0,33474892,0,0,0,70361026,0,0,0,0,0,70361026,0,0,0,0,0,0,0,80789968,36886134,0,0,70361026,0,0,0,10428942,0,0,0,0,0,70361026,0,0,0,0,0,0,0,0,0,0
hetdel_3,0,31082402,0,0,0,65296030,0,0,0,0,0,65296030,0,0,0,0,0,0,0,72673356,34213628,0,0,65296030,0,0,0,7377326,0,0,0,0,0,65296030,0,0,0,0,0,0,0,0,0,0
S21wt_4,0,32752704,0,0,0,69057958,0,0,0,0,0,69057958,0,0,0,0,0,0,0,77125996,36305254,0,0,69057958,0,0,0,8068038,0,0,0,0,0,69057958,0,0,0,0,0,0,0,0,0,0
R146fs_4,0,38229578,0,0,0,80309106,0,0,0,0,0,80309106,0,0,0,0,0,0,0,92024276,42079528,0,0,80309106,0,0,0,11715170,0,0,0,0,0,80309106,0,0,0,0,0,0,0,0,0,0
P26wt_4,0,29266200,0,0,0,61989734,0,0,0,0,0,61989734,0,0,0,0,0,0,0,70394046,32723534,0,0,61989734,0,0,0,8404312,0,0,0,0,0,61989734,0,0,0,0,0,0,0,0,0,0
N12K_1,0,33081468,0,0,0,69887834,0,0,0,0,0,69887834,0,0,0,0,0,0,0,77585930,36806366,0,0,69887834,0,0,0,7698096,0,0,0,0,0,69887834,0,0,0,0,0,0,0,0,0,0
P26R_6,0,39760368,0,0,0,84506592,0,0,0,0,0,84506592,0,0,0,0,0,0,0,95467814,44746224,0,0,84506592,0,0,0,10961222,0,0,0,0,0,84506592,0,0,0,0,0,0,0,0,0,0
R146wt_3,0,53661234,0,0,0,112625400,0,0,0,0,0,112625400,0,0,0,0,0,0,0,124942352,58964166,0,0,112625400,0,0,0,12316952,0,0,0,0,0,112625400,0,0,0,0,0,0,0,0,0,0
N12wt_5,0,32717736,0,0,0,68925094,0,0,0,0,0,68925094,0,0,0,0,0,0,0,78624628,36207358,0,0,68925094,0,0,0,9699534,0,0,0,0,0,68925094,0,0,0,0,0,0,0,0,0,0
R146fs_2,0,35243572,0,0,0,73968340,0,0,0,0,0,73968340,0,0,0,0,0,0,0,83447214,38724768,0,0,73968340,0,0,0,9478874,0,0,0,0,0,73968340,0,0,0,0,0,0,0,0,0,0
NA_3,0,24836214,0,0,0,54265112,0,0,0,0,0,54265112,0,0,0,0,0,0,0,67902838,29428898,0,0,54265112,0,0,0,13637726,0,0,0,0,0,54265112,0,0,0,0,0,0,0,0,0,0
S21Thet_1,0,27929140,0,0,0,58571968,0,0,0,0,0,58571968,0,0,0,0,0,0,0,67903302,30642828,0,0,58571968,0,0,0,9331334,0,0,0,0,0,58571968,0,0,0,0,0,0,0,0,0,0
R146wt_6,0,34699734,0,0,0,72814742,0,0,0,0,0,72814742,0,0,0,0,0,0,0,81939674,38115008,0,0,72814742,0,0,0,9124932,0,0,0,0,0,72814742,0,0,0,0,0,0,0,0,0,0
M143Vhet_6,0,25510256,0,0,0,53449034,0,0,0,0,0,53449034,0,0,0,0,0,0,0,58959158,27938778,0,0,53449034,0,0,0,5510124,0,0,0,0,0,53449034,0,0,0,0,0,0,0,0,0,0
M143wt_4,0,27654192,0,0,0,61417224,0,0,0,0,0,61417224,0,0,0,0,0,0,0,79283062,33763032,0,0,61417224,0,0,0,17865838,0,0,0,0,0,61417224,0,0,0,0,0,0,0,0,0,0
N12K_5,0,31207460,0,0,0,65909810,0,0,0,0,0,65909810,0,0,0,0,0,0,0,72791960,34702350,0,0,65909810,0,0,0,6882150,0,0,0,0,0,65909810,0,0,0,0,0,0,0,0,0,0
R146fs_1,0,41461660,0,0,0,86899392,0,0,0,0,0,86899392,0,0,0,0,0,0,0,96314438,45437732,0,0,86899392,0,0,0,9415046,0,0,0,0,0,86899392,0,0,0,0,0,0,0,0,0,0
S21wt_2,0,38302022,0,0,0,80596210,0,0,0,0,0,80596210,0,0,0,0,0,0,0,90668332,42294188,0,0,80596210,0,0,0,10072122,0,0,0,0,0,80596210,0,0,0,0,0,0,0,0,0,0
P26R_5,0,37367858,0,0,0,79280926,0,0,0,0,0,79280926,0,0,0,0,0,0,0,89530746,41913068,0,0,79280926,0,0,0,10249820,0,0,0,0,0,79280926,0,0,0,0,0,0,0,0,0,0
P26wt_2,0,31731978,0,0,0,67008298,0,0,0,0,0,67008298,0,0,0,0,0,0,0,75510984,35276320,0,0,67008298,0,0,0,8502686,0,0,0,0,0,67008298,0,0,0,0,0,0,0,0,0,0
NA_7,0,41548560,0,0,0,87438510,0,0,0,0,0,87438510,0,0,0,0,0,0,0,97494252,45889950,0,0,87438510,0,0,0,10055742,0,0,0,0,0,87438510,0,0,0,0,0,0,0,0,0,0
S21Thet_2,0,29313670,0,0,0,61326780,0,0,0,0,0,61326780,0,0,0,0,0,0,0,68888914,32013110,0,0,61326780,0,0,0,7562134,0,0,0,0,0,61326780,0,0,0,0,0,0,0,0,0,0
P26R_1,0,33195292,0,0,0,70418480,0,0,0,0,0,70418480,0,0,0,0,0,0,0,78833920,37223188,0,0,70418480,0,0,0,8415440,0,0,0,0,0,70418480,0,0,0,0,0,0,0,0,0,0
P26R_3,0,32670412,0,0,0,69079050,0,0,0,0,0,69079050,0,0,0,0,0,0,0,77779052,36408638,0,0,69079050,0,0,0,8700002,0,0,0,0,0,69079050,0,0,0,0,0,0,0,0,0,0
R146fs_6,0,36821550,0,0,0,77716426,0,0,0,0,0,77716426,0,0,0,0,0,0,0,88371822,40894876,0,0,77716426,0,0,0,10655396,0,0,0,0,0,77716426,0,0,0,0,0,0,0,0,0,0
M143Vhom_4,0,22598022,0,0,0,47817340,0,0,0,0,0,47817340,0,0,0,0,0,0,0,52561746,25219318,0,0,47817340,0,0,0,4744406,0,0,0,0,0,47817340,0,0,0,0,0,0,0,0,0,0
C54Y_2,0,22768650,0,0,0,54866424,0,0,0,0,0,54866424,0,0,0,0,0,0,0,90021270,32097774,0,0,54866424,0,0,0,35154846,0,0,0,0,0,54866424,0,0,0,0,0,0,0,0,0,0
C54Y_3,0,26944422,0,0,0,56874194,0,0,0,0,0,56874194,0,0,0,0,0,0,0,63509112,29929772,0,0,56874194,0,0,0,6634918,0,0,0,0,0,56874194,0,0,0,0,0,0,0,0,0,0
C54Y_1,0,31021466,0,0,0,65884290,0,0,0,0,0,65884290,0,0,0,0,0,0,0,72902022,34862824,0,0,65884290,0,0,0,7017732,0,0,0,0,0,65884290,0,0,0,0,0,0,0,0,0,0
M143Vhom_2,0,33058978,0,0,0,69776972,0,0,0,0,0,69776972,0,0,0,0,0,0,0,77017754,36717994,0,0,69776972,0,0,0,7240782,0,0,0,0,0,69776972,0,0,0,0,0,0,0,0,0,0
R146fs_5,0,47646442,0,0,0,100394664,0,0,0,0,0,100394664,0,0,0,0,0,0,0,113861142,52748222,0,0,100394664,0,0,0,13466478,0,0,0,0,0,100394664,0,0,0,0,0,0,0,0,0,0
N12K_4,0,24332782,0,0,0,51374558,0,0,0,0,0,51374558,0,0,0,0,0,0,0,57660200,27041776,0,0,51374558,0,0,0,6285642,0,0,0,0,0,51374558,0,0,0,0,0,0,0,0,0,0
delwt_1,0,31466174,0,0,0,67010412,0,0,0,0,0,67010412,0,0,0,0,0,0,0,73445522,35544238,0,0,67010412,0,0,0,6435110,0,0,0,0,0,67010412,0,0,0,0,0,0,0,0,0,0
P26wt_5,0,35912776,0,0,0,76029360,0,0,0,0,0,76029360,0,0,0,0,0,0,0,85428622,40116584,0,0,76029360,0,0,0,9399262,0,0,0,0,0,76029360,0,0,0,0,0,0,0,0,0,0
S21Thet_3,0,29394140,0,0,0,62511728,0,0,0,0,0,62511728,0,0,0,0,0,0,0,68965918,33117588,0,0,62511728,0,0,0,6454190,0,0,0,0,0,62511728,0,0,0,0,0,0,0,0,0,0
delwt_2,0,33744240,0,0,0,71364582,0,0,0,0,0,71364582,0,0,0,0,0,0,0,77959302,37620342,0,0,71364582,0,0,0,6594720,0,0,0,0,0,71364582,0,0,0,0,0,0,0,0,0,0
hetdel_1,0,42080346,0,0,0,89469720,0,0,0,0,0,89469720,0,0,0,0,0,0,0,100105236,47389374,0,0,89469720,0,0,0,10635516,0,0,0,0,0,89469720,0,0,0,0,0,0,0,0,0,0
C54wt_4,0,27423342,0,0,0,59796922,0,0,0,0,0,59796922,0,0,0,0,0,0,0,72926614,32373580,0,0,59796922,0,0,0,13129692,0,0,0,0,0,59796922,0,0,0,0,0,0,0,0,0,0
N12K_2,0,29406560,0,0,0,62307668,0,0,0,0,0,62307668,0,0,0,0,0,0,0,69292442,32901108,0,0,62307668,0,0,0,6984774,0,0,0,0,0,62307668,0,0,0,0,0,0,0,0,0,0
S21wt_6,0,32797572,0,0,0,69299138,0,0,0,0,0,69299138,0,0,0,0,0,0,0,77908610,36501566,0,0,69299138,0,0,0,8609472,0,0,0,0,0,69299138,0,0,0,0,0,0,0,0,0,0
M143Vhet_5,0,32309432,0,0,0,68410488,0,0,0,0,0,68410488,0,0,0,0,0,0,0,75241538,36101056,0,0,68410488,0,0,0,6831050,0,0,0,0,0,68410488,0,0,0,0,0,0,0,0,0,0
P26R_2,0,29004232,0,0,0,61175176,0,0,0,0,0,61175176,0,0,0,0,0,0,0,68260844,32170944,0,0,61175176,0,0,0,7085668,0,0,0,0,0,61175176,0,0,0,0,0,0,0,0,0,0
S21Thom_4,0,27322086,0,0,0,57844876,0,0,0,0,0,57844876,0,0,0,0,0,0,0,65142662,30522790,0,0,57844876,0,0,0,7297786,0,0,0,0,0,57844876,0,0,0,0,0,0,0,0,0,0
delwt_5,0,28256418,0,0,0,59553134,0,0,0,0,0,59553134,0,0,0,0,0,0,0,65902162,31296716,0,0,59553134,0,0,0,6349028,0,0,0,0,0,59553134,0,0,0,0,0,0,0,0,0,0
S21Thom_1,0,49952954,0,0,0,105401390,0,0,0,0,0,105401390,0,0,0,0,0,0,0,114308674,55448436,0,0,105401390,0,0,0,8907284,0,0,0,0,0,105401390,0,0,0,0,0,0,0,0,0,0
NA_4,0,21475692,0,0,0,46233624,0,0,0,0,0,46233624,0,0,0,0,0,0,0,54224802,24757932,0,0,46233624,0,0,0,7991178,0,0,0,0,0,46233624,0,0,0,0,0,0,0,0,0,0
M143Vhet_2,0,25637488,0,0,0,54563880,0,0,0,0,0,54563880,0,0,0,0,0,0,0,60865218,28926392,0,0,54563880,0,0,0,6301338,0,0,0,0,0,54563880,0,0,0,0,0,0,0,0,0,0
M143Vhom_6,0,35749794,0,0,0,75736476,0,0,0,0,0,75736476,0,0,0,0,0,0,0,84514158,39986682,0,0,75736476,0,0,0,8777682,0,0,0,0,0,75736476,0,0,0,0,0,0,0,0,0,0